product_category_english,total_sold_jan_2018,total_sold_feb_2018,total_sold_mar_2018,total_sold_apr_2018,total_sold_may_2018,total_sold_jun_2018,total_sold_jul_2018,total_sold_aug_2018,total_sold,total_revenue,total_freight_cost,net_profit,profit_margin,avg_growth_rate,avg_review_score,q_volume,q_margin,q_growth,q_review,performance_label
health_beauty,619,650,656,685,751,875,770,835,5841,755724.500000015,111085.84000000014,644638.660000002,85.30,0.04705685622153262723,4.20,4,3,3,3,Best Performance
auto,267,315,336,348,308,295,341,370,2580,343288.2999999996,55716.90000000015,287571.39999999927,83.77,0.05228315771371851766,4.14,4,3,3,3,Best Performance
pet_shop,89,99,122,166,136,178,158,198,1146,126849.63999999949,23839.609999999964,103010.02999999988,81.21,0.13917773783366790259,4.22,4,3,3,3,Best Performance
home_appliances,27,48,70,104,64,65,78,63,519,55760.75000000009,9956.290000000006,45804.46000000001,82.14,0.19436104570033141462,4.23,3,3,3,3,Best Performance
construction_tools_lights,7,17,13,47,38,44,55,62,283,35903.520000000026,6747.659999999995,29155.859999999982,81.21,0.59319143267452715040,4.11,3,3,4,3,Best Performance
costruction_tools_tools,8,12,9,17,5,4,12,14,81,11816.659999999989,1631.5400000000002,10185.12,86.19,0.34281045751633986928,4.45,2,4,4,4,Hidden Gem
small_appliances_home_oven_and_coffee,1,5,7,13,9,3,15,17,70,45854.770000000004,2595.259999999999,43259.51,94.34,1.20230245944531658817,4.50,2,4,4,4,Hidden Gem
fashion_underwear_beach,8,7,5,6,6,7,2,1,42,2409.1000000000017,634.1300000000001,1774.9700000000005,73.68,-0.17976190476190476190,3.90,1,1,1,1,Low Performance
flowers,10,4,3,3,1,2,2,0,25,839.5400000000001,377.1,462.43999999999994,55.08,-0.21666666666666666667,4.39,1,1,1,4,Low Performance
arts_and_craftmanship,0,0,0,1,1,0,11,9,22,1662.1200000000003,346.8,1315.3199999999995,79.14,-0.16883116883116883117,4.05,1,2,1,2,Low Performance
furniture_mattress_and_upholstery,9,5,4,0,0,0,1,0,19,1775.1000000000001,819.75,955.35,53.82,-0.37777777777777777778,3.79,1,1,1,1,Low Performance
home_comfort_2,0,3,1,1,0,2,3,0,10,151.09000000000003,132.81999999999996,18.270000000000007,12.09,-0.30952380952380952381,2.20,1,1,1,1,Low Performance
fashion_sport,2,0,1,1,0,0,0,1,5,369.5,61.69,307.81000000000006,83.30,-0.28571428571428571429,4.20,1,3,1,3,Low Performance
la_cuisine,1,0,1,2,0,0,0,0,4,781,109.85000000000001,671.1500000000001,85.93,-0.14285714285714285714,2.75,1,4,1,1,Low Performance
fashion_childrens_clothes,0,0,2,0,0,1,0,0,3,169.97,24.07,145.9,85.84,-0.28571428571428571429,5.00,1,4,1,4,Low Performance
cds_dvds_musicals,0,0,0,1,0,0,0,0,1,65,52.58,12.420000000000002,19.11,-0.14285714285714285714,5.00,1,1,1,4,Low Performance
bed_bath_table,836,685,777,736,740,764,617,655,5810,532358.8500000172,111294.63000000034,421064.2199999985,79.09,-0.02743361775478528615,3.91,4,2,2,1,Regular Performance
furniture_decor,595,422,583,586,597,402,436,430,4051,381649.5700000063,88374.80999999974,293274.7600000005,76.84,-0.02016287221111832982,3.94,4,2,2,1,Regular Performance
housewares,351,391,390,462,618,577,564,616,3969,391823.4600000024,89837.53999999969,301985.9199999987,77.07,0.09100078595435159863,4.09,4,2,3,2,Regular Performance
telephony,368,354,334,279,250,216,221,271,2293,174123.67999999798,36467.87999999974,137655.79999999976,79.06,-0.03568021033927792492,3.93,4,2,2,1,Regular Performance
garden_tools,236,293,253,282,288,184,177,136,1849,212186.19999999602,43271.96999999991,168914.22999999972,79.61,-0.05569789333996951096,4.07,4,2,1,2,Regular Performance
electronics,348,331,254,212,231,191,151,119,1837,99735.59999999865,30730.739999999914,69004.86000000015,69.19,-0.13595934991922044144,4.07,4,1,1,2,Regular Performance
stationery,385,145,163,152,130,167,190,169,1501,132315.74999999907,27837.389999999945,104478.36000000006,78.96,-0.05709236818571090978,4.25,4,2,1,4,Regular Performance
office_furniture,142,107,200,131,104,76,80,30,870,140578.3500000003,37326.01000000002,103252.33999999988,73.45,-0.11000372217816745226,3.47,3,1,1,1,Regular Performance
